restaurant_name,url
Thanh Thúy - Ẩm Thực Miền Trung,
chilli thai - aeon binh tan - thai restaurant,https://maps.google.com/?cid=13808341800566669272
ẩm thực nhà tôi,https://maps.google.com/?cid=16748167529833872601
hai hoang restaurant - binh tan district,https://maps.google.com/?cid=18269754719105936607
tanchou bình tân - quán ăn nhật bản,https://maps.google.com/?cid=2205995302827912310
nhà hàng tràm chim - bình tân,https://maps.google.com/?cid=7082891654577007204
nhà hàng bê vàng,https://maps.google.com/?cid=3047794520052874235
quán biển tình,https://maps.google.com/?cid=8468887924093584010
beefsteak 100g bình tân,https://maps.google.com/?cid=3681953064736773320
seaport restaurant,https://maps.google.com/?cid=3114548779878984671
chang - modern thai cuisine đường số 7 bình tân,https://maps.google.com/?cid=14542996750985884895
cơm niêu thiên lý - 120 đường số 7,https://maps.google.com/?cid=2010871685425301867
yakimono aeon bình tân - quán thịt nướng nhật bản,https://maps.google.com/?cid=4407536555817052433
kichi-kichi đường số 7 bình tân,https://maps.google.com/?cid=916154959338780508
quán ăn ao ba,https://maps.google.com/?cid=2001202892981002627
lotteria aeon mall binh tan,https://maps.google.com/?cid=11186179306139827372
al fresco's bình tân,https://maps.google.com/?cid=3210621392403763898
nhứt xứ ba xuyên,https://maps.google.com/?cid=1687044958747435707
buffet poseidon tân bình,https://maps.google.com/?cid=15430502062902683199
buffet 123k nuong ngon - binh tan,https://maps.google.com/?cid=15675920534937538452
nhà hàng hải sản mưa vàng,https://maps.google.com/?cid=14618375330774132490
80 lê đình cẩn,https://maps.google.com/?cid=7604196011414288675
quán ăn long ký,https://maps.google.com/?cid=16927256147497339842
nhà hàng hải sản thanh loan | ẩm thực ngon bình trị đông | quán nhậu bình tân,https://maps.google.com/?cid=17762654408727073287
yến sào nha trang chi nhánh bình tân,https://maps.google.com/?cid=3769462427734144476
